,date,frequency,happiness,normed_happiness,week_start
37,2012-12-31,161075940.0,6.1,0.6089965397923872,2012-12-31
38,2013-01-02,164005451.0,5.944,0.3391003460207611,2012-12-31
39,2013-01-03,159541965.0,5.946,0.3425605536332175,2012-12-31
40,2013-01-04,151858210.0,5.966,0.3771626297577858,2012-12-31
41,2013-01-05,151598054.0,5.963,0.3719723183391005,2012-12-31
42,2013-01-06,166866281.0,5.94,0.3321799307958484,2012-12-31
43,2013-01-07,168252472.0,5.943,0.33737024221453216,2013-01-07
44,2013-01-08,152089386.0,5.948,0.3460207612456754,2013-01-07
45,2013-01-09,91765525.0,5.971,0.3858131487889275,2013-01-07
46,2013-01-10,149304743.0,5.949,0.34775086505190284,2013-01-07
47,2013-01-11,137626118.0,5.987,0.41349480968858154,2013-01-07
48,2013-01-12,148525567.0,5.998,0.4325259515570939,2013-01-07
49,2013-01-13,165152750.0,5.965,0.37543252595155685,2013-01-07
50,2013-01-14,154445443.0,5.946,0.3425605536332175,2013-01-14
51,2013-01-15,152940562.0,5.947,0.3442906574394465,2013-01-14
52,2013-01-17,148716458.0,5.953,0.3546712802768171,2013-01-14
53,2013-01-18,139129047.0,5.976,0.3944636678200692,2013-01-14
54,2013-01-19,139118253.0,5.982,0.4048442906574398,2013-01-14
55,2013-01-20,165259953.0,5.95,0.3494809688581318,2013-01-14
56,2013-01-21,151466028.0,5.947,0.3442906574394465,2013-01-21
57,2013-01-22,158559848.0,5.938,0.3287197231833905,2013-01-21
58,2013-01-23,156059937.0,5.942,0.33564013840830476,2013-01-21
59,2013-01-24,151526635.0,5.956,0.3598615916955024,2013-01-21
60,2013-01-25,141855603.0,5.977,0.39619377162629815,2013-01-21
61,2013-01-26,137588294.0,5.984,0.40830449826989623,2013-01-21
62,2013-01-27,162437051.0,5.958,0.36332179930795877,2013-01-21
63,2013-01-28,157666645.0,5.95,0.3494809688581318,2013-01-28
64,2013-01-29,150724833.0,5.959,0.3650519031141862,2013-01-28
65,2013-01-30,150973693.0,5.95,0.3494809688581318,2013-01-28
66,2013-02-01,133010075.0,6.016,0.46366782006920426,2013-01-28
67,2013-02-02,133437354.0,5.995,0.4273356401384085,2013-01-28
68,2013-02-03,182717514.0,5.986,0.4117647058823526,2013-01-28
69,2013-02-04,145546761.0,5.956,0.3598615916955024,2013-02-04
70,2013-02-05,148722898.0,5.96,0.3667820069204152,2013-02-04
71,2013-02-06,151726183.0,5.971,0.3858131487889275,2013-02-04
